image,tag,total_layers,file_layer,image_size(byte),layer_size(byte),file_size(byte),filepath
jruby,latest,11,8,340748337,42020758,1252,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/set.rb
jruby,latest,11,8,340748337,42020758,900,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/source_set.rb
jruby,latest,11,8,340748337,42020758,2724,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/specification.rb
jruby,latest,11,8,340748337,42020758,1365,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/spec_specification.rb
jruby,latest,11,8,340748337,42020758,957,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/stats.rb
jruby,latest,11,8,340748337,42020758,1958,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/vendor_set.rb
jruby,latest,11,8,340748337,42020758,579,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/vendor_specification.rb
jruby,latest,11,8,340748337,42020758,5444,/opt/jruby/lib/ruby/stdlib/rubygems/source/git.rb
jruby,latest,11,8,340748337,42020758,661,/opt/jruby/lib/ruby/stdlib/rubygems/source/installed.rb
jruby,latest,11,8,340748337,42020758,2863,/opt/jruby/lib/ruby/stdlib/rubygems/source/local.rb
jruby,latest,11,8,340748337,42020758,926,/opt/jruby/lib/ruby/stdlib/rubygems/source/lock.rb
jruby,latest,11,8,340748337,42020758,5838,/opt/jruby/lib/ruby/stdlib/rubygems/source.rb
jruby,latest,11,8,340748337,42020758,1512,/opt/jruby/lib/ruby/stdlib/rubygems/source/specific_file.rb
jruby,latest,11,8,340748337,42020758,467,/opt/jruby/lib/ruby/stdlib/rubygems/source/vendor.rb
jruby,latest,11,8,340748337,42020758,13437,/opt/jruby/lib/ruby/stdlib/rubygems/specification_policy.rb
jruby,latest,11,8,340748337,42020758,71667,/opt/jruby/lib/ruby/stdlib/rubygems/specification.rb
jruby,latest,11,8,340748337,42020758,4854,/opt/jruby/lib/ruby/stdlib/rubygems/stub_specification.rb
jruby,latest,11,8,340748337,42020758,1894,/opt/jruby/lib/ruby/stdlib/rubygems/text.rb
jruby,latest,11,8,340748337,42020758,13421,/opt/jruby/lib/ruby/stdlib/rubygems/user_interaction.rb
jruby,latest,11,8,340748337,42020758,585,/opt/jruby/lib/ruby/stdlib/rubygems/util/list.rb
jruby,latest,11,8,340748337,42020758,2560,/opt/jruby/lib/ruby/stdlib/rubygems/util.rb
jruby,latest,11,8,340748337,42020758,12738,/opt/jruby/lib/ruby/stdlib/rubygems/version.rb
jruby,latest,11,8,340748337,42020758,14642,/opt/jruby/lib/ruby/stdlib/tsort.rb
jruby,latest,11,8,340748337,42020758,3273,/opt/jruby/lib/ruby/stdlib/unicode_normalize.rb
jruby,latest,11,6,340748337,108097240,105075,/usr/local/openjdk-8/lib/amd64/jli/libjli.so
jruby,latest,11,6,340748337,108097240,1624,/usr/local/openjdk-8/lib/amd64/jvm.cfg
jruby,latest,11,6,340748337,108097240,8320,/usr/local/openjdk-8/lib/amd64/libjaas_unix.so
jruby,latest,11,6,340748337,108097240,207554,/usr/local/openjdk-8/lib/amd64/libjava.so
jruby,latest,11,6,340748337,108097240,126887,/usr/local/openjdk-8/lib/amd64/libnet.so
jruby,latest,11,6,340748337,108097240,99007,/usr/local/openjdk-8/lib/amd64/libnio.so
jruby,latest,11,6,340748337,108097240,70245,/usr/local/openjdk-8/lib/amd64/libverify.so
